Filename,TextGridLabel,duration,f0_00,f1_00,f2_00,f3_00,f0_10,f1_10,f2_10,f3_10,f0_20,f1_20,f2_20,f3_20,f0_30,f1_30,f2_30,f3_30,f0_40,f1_40,f2_40,f3_40,f0_50,f1_50,f2_50,f3_50,f0_60,f1_60,f2_60,f3_60,f0_70,f1_70,f2_70,f3_70,f0_80,f1_80,f2_80,f3_80,f0_90,f1_90,f2_90,f3_90,f0_100,f1_100,f2_100,f3_100
FNormal, ,3.7941516570950706,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,901.5533323353142,2187.4914421923504,3345.135780775126,--undefined--,1038.7154090910055,1997.424457994193,3139.4846607104273,--undefined--,1115.0373499763793,2441.022125286487,3423.8380291947437,--undefined--,1050.148506180676,2239.746036208923,3034.6678223450535,--undefined--,1030.5343409716634,2157.2284869197797,3424.8062792386663,--undefined--,910.0704731511445,2039.040479553547,3234.1260631324467,--undefined--,972.3611162202377,1930.972717868534,3170.5595470632857,--undefined--,1029.4080968109863,1983.325229742968,3184.2245709940007,--undefined--,819.075014449663,1989.9377248610276,3153.3221585046126,313.7782961286143,336.6210224962592,2340.5533681549277,3430.2968565748624
FNormal,F_N_heed_1,0.3839984017419531,313.7782961286143,336.6210224962592,2340.5533681549277,3430.2968565748624,288.2047405197894,334.9040511126092,3163.701047741915,3684.7561914960147,285.8457337646787,342.98189867418637,2932.507955242179,3812.428811068711,279.1354025939512,338.75449158152645,3242.419987841456,3876.659245361921,266.84742827074916,361.7696595206053,3197.635025091961,3855.582521990947,253.44662416936515,392.6141975627656,3208.021958892353,3798.7143822249836,243.22921252862176,396.01097047255143,3184.2851846914864,3790.9145747972207,233.92453106947283,393.11492660284495,3197.932391915535,3740.4335067282695,226.45366087388587,411.2832966669354,3184.2021443359854,3690.8276268404043,222.30752494422498,430.1148439715133,3070.2175424634256,3466.3344799362094,221.43044362022482,427.3280003270044,2575.5267422328234,3315.5349426053194
FNormal,F_N_heed_2,0.4336819186728693,305.18758690865315,352.2297774178591,2979.3517352590143,3635.7180630515313,287.9488448934877,359.32022338246827,3180.098180979925,3998.6921974383467,281.8297910865157,345.8930244356114,3198.2044268596596,3932.0109470864563,268.96226225142584,355.50103195478226,3214.55077756619,3922.5322060530025,256.87878594244114,368.2201534746139,3160.1199524797394,3838.492640127304,243.5818290410162,425.68166002289166,3171.4023096654228,3787.504241602259,232.37297447077216,413.1104317426242,3188.621485286068,3752.186353925073,224.33639371708662,420.4593441019502,3135.0958443594855,3713.527541556563,221.51884466852556,415.95964760618926,3118.625473317216,3520.341351902923,223.92857118178446,432.08948436725336,2954.0450546069137,3377.6999749153583,219.70850959164824,406.28550665695263,2374.336914204036,3417.9694501138697
FNormal,F_N_hid_1,0.268621643942093,278.271434357018,646.9560318836283,2790.121603711016,3450.8353802030715,263.40167766607266,592.1592814438583,2568.4588024821765,3233.525998588531,253.65531805213897,570.0975278038435,1156.6907554639395,2857.6160416544017,247.60388465635185,576.2006501312161,2547.7522288288765,3675.696945859563,242.8592928924697,578.4715135267882,2649.6401561254124,3508.6615766023056,235.07122538322045,592.0774004643317,2520.5637095128463,3580.2263623426843,231.66998107762814,608.2023823519595,2492.942963187925,3640.6603661810427,229.11752550482015,623.5890607027385,2439.679439360496,3319.54372164071,225.7417873155874,613.890260520491,2400.566010637763,3375.0351654864157,218.9403900556016,572.8770072893604,2368.121612799286,3381.863888184708,210.81469707823774,432.05709078366726,2242.020537478632,3386.8620185978084
FNormal,F_N_hid_2,0.29986424666181755,267.8383726098157,457.6644475449415,2787.8656876542727,3295.365645571324,291.7569495114379,627.6465186398528,1331.441769121306,2688.9587316676602,254.81197439850513,558.6984018219999,2464.6783790838117,3264.1906380687383,235.45251420663973,541.9711764457809,1494.5355323051606,2635.076559575536,229.994587033411,372.7102815437825,729.5174570420331,2661.3032801123627,223.4908192125019,538.0463045182241,1756.6074815985,2520.0980123769546,223.5693864535601,553.8832940388353,2471.6346367978304,3372.513797702802,216.62247121685715,557.4135984489592,2429.1024144013363,3448.300210372002,215.00854004809128,549.8289090393476,2391.825367733738,3421.4992531058156,215.2810067431597,509.6102040301602,2434.063315266531,3421.6359006809826,210.7317603325718,412.51045019549434,2281.783334863148,3393.2622044086465
FNormal,F_N_head_1,0.2545416684630304,237.13374967619845,868.1572771156206,2610.2086246072076,3374.584400912466,257.47000696159813,848.8066434442525,2873.637488095444,3412.7442795549277,244.57286024725806,785.6284930511173,2146.686306516482,3308.10464152806,233.296607943996,764.4913393573933,1062.3855573800638,2365.4618913229197,228.58182242469937,531.8047664411389,935.7052654968558,2256.9547704169154,221.89445637673293,706.2821483457676,2235.089481114772,3309.690637959376,215.9836964227098,677.3665215331858,2276.610229061496,3301.1082109358877,214.47721966245192,643.522089544735,957.8117895377495,2336.563225843751,210.3395171341299,620.5071640022596,2332.5755570223764,3359.4749853069493,207.03987237892406,553.251802413981,2347.9125971274143,3344.6524545485818,201.34721749049828,405.9343110208984,2270.831956441763,3322.326473972197
FNormal,F_N_head_2,0.20423953858799315,256.6402102155662,813.3994126742974,2437.4293918078533,3318.416220706465,255.4566257811504,836.9365739861553,2178.5858412749108,3250.383381542807,234.38663765901887,806.9444703652916,2179.468988777906,3264.833682379186,231.6685730792435,771.2816921074781,2220.1980115669166,3228.0137712172805,226.87025629506434,748.3566314997871,2196.427890711971,3179.621123189556,222.25598327004056,712.4230567583602,2245.904049584483,3309.652155682611,220.24840875080935,677.0761317140185,2303.283648263228,3352.149760725938,216.57334026496423,648.5943508704854,2326.9533477490763,3413.526615432405,216.2629670090967,628.291595692563,2337.452847081948,3374.99804879002,213.41792683460105,560.1741161792534,2338.669908062565,3423.4030655685406,208.67675342657708,421.7373490397854,2267.8384527877815,3374.9201314820525
FNormal,F_N_had_1,0.35683500084505937,252.11058353973831,1177.9983902906222,2587.6493893348847,3306.172079388875,244.2592430848958,1160.7904888922208,1616.1810450161013,2761.1359434899027,239.7921260349857,1178.1726524161174,1509.0459224458723,2129.6110302913567,234.1152789321625,1174.2213455162098,1874.8477210024573,2154.9432691169072,222.99477289345703,1268.3492588074482,1907.9819953000972,2484.360051032285,212.12499532577328,1259.4544922014977,1801.2033858029654,2316.0983090015116,202.64762070923948,1318.480448500195,1571.6791753342136,1857.529931118193,196.78307841848581,1233.0600872992848,1866.7183581806871,2248.6373831921514,202.3332806584734,1117.0358105240666,1399.7447924246499,2052.20160518461,214.61965244649127,897.2392345508822,2138.8316923808134,3278.80193757207,111.86432860640221,582.4584825627712,2008.8953991197463,3182.5909443143846
FNormal,F_N_had_2,0.35058529571252706,263.2503301137606,1194.4381170916017,2097.8477303839304,3019.4651948616884,248.3409445279532,1200.717879878782,1939.6353124806647,3181.1260247197274,241.32905798820352,1186.7294399586315,1868.9667094476401,2593.9189800876466,226.44646097479384,1239.2782512471815,1750.4183301820888,2788.857333669576,216.7733332233812,1228.1396412646272,1268.6075188943773,1763.3989905176722,210.6479607258705,1214.2582761629337,1349.6630233286364,1806.1847425732767,219.25943533352432,1224.4898821027436,1301.8748102364343,1971.6262021906552,--undefined--,1179.7557118826671,1456.1602917318196,1944.8924055796097,55.80455519082271,1041.0611181952456,1996.689357877133,3073.299053238926,--undefined--,838.4220249348494,1989.0144334047563,3230.769594968034,--undefined--,485.6356026792938,2027.6226036886837,3222.3414999949164
FNormal,F_N_hod_1,0.3664122459603476,268.2428706672373,615.3139495102932,1086.5116028892544,2711.213131655939,254.883646332678,988.7305470509049,1166.2147935009577,3033.3169236614604,247.95827400539932,939.8276753078981,1223.4830423192213,3044.6922668482175,239.91964242471803,924.0369840974964,1233.4475277348863,3140.8199045007386,232.30604809243138,918.4088492155728,1192.1523130127298,3117.9258075940784,224.31499752212028,976.5479663288565,1157.4178413282082,3215.223936821423,216.88545891945785,1031.7078779084015,1292.054891814883,3465.977607981721,207.5285082747655,1023.6104229518114,1390.7575216411044,2969.0549699583908,205.42502831736027,1011.8848726959615,1590.0329801711662,3023.9640967941646,--undefined--,862.5700657284636,1881.2176109151337,2970.242790585819,111.10563608927322,558.0381694966501,2112.432577686272,3290.4445390648807
